"   zus: Bei der Frau
 lemma: werden
 narg1: der Geschlechtshöcker
 narg2: zur Klitoris",,"



kli (""Klitoris"")",,27.05.2025 23:00:23 CEST,1,C8FJ558Z,2575YNWY,275,01A
" lemma: sich bilden
  narg: eine weißliche Masse , das Smegma clitoridis
pspez1: Zwischen Clitoris und Praeputium clitoridis
pspez2B: dem Sekret der Talgdrüsen",,"

? (""Smegma clitoridis"")
pra (""Praeputium clitoridis"")
",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,05D
" lemma: eine weißliche Masse sein
  narg: das Smegma clitoridis",,"

? (""Smegma clitoridis"")",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,06A
" lemma: zahlreiche Nervenendkörperchen haben
  narg: Die Schleimhaut der Clitoris",,"

gla (""Clitoris"")",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,07A
" lemma: Die Schwellkörper der Vulva sein
 nargA: der Kitzler , Clitoris",,"

kli (""Clitoris"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,01A
" lemma: Die Schwellkörper der Vulva sein
 nargA: der Kitzler , Clitoris
 nargB: der Bulbus vestibuli",,"

kli (""Clitoris"")
bul (""Bulbus vestibuli"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,01B
" lemma: entsprechen
 narg1: Die Clitoris
 narg2: den Corpora cavernosa penis des Mannes",,"

kli (""Clitoris"")
",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,02A
" lemma: bestehen
 narg1: Die Clitoris
narg2A: aus den Crura clitoridis",,"

kli (""Clitoris"")
cru (""Crura clitoridis"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,03A
" lemma: bestehen
 narg1: Die Clitoris
narg2A: aus den Crura clitoridis
narg2B: aus dem Corpus clitoridis",,"

kli (""Clitoris"")
cru (""Crura clitoridis"")
cor (""Corpus clitoridis"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,03B
" lemma: bestehen
 narg1: Die Clitoris
narg2A: aus den Crura clitoridis
narg2B: aus dem Corpus clitoridis
narg2C: aus der Glans clitoridis",,"

kli (""Clitoris"")
cru (""Crura clitoridis"")
cor (""Corpus clitoridis"")
gla (""Glans clitoridis"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,03C
" lemma: am Ramus inferior ossis pubis entspringen
  narg: Die Crura clitoridis",,"

cru (""Crura clitoridis"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,04A
" lemma: Die Crura clitoridis am Ramus inferior ossis pubis bedecken
  narg: M. ischiocavernosus",,"
cru (""Crura clitoridis"")
",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,05A
" lemma: sich vereinigen
  narg: Die Crura clitoridis",,"

cru (""Crura clitoridis"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,06A
" lemma: sich vereinigen
  narg: Die Crura clitoridis
  farg: zum Klitorisschaft , Corpus clitoridis",,"

cru (""Crura clitoridis"")
cor (""Corpus clitoridis"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,06B
" lemma: sich vereinigen
  narg: Die Crura clitoridis
  farg: zum Klitorisschaft , Corpus clitoridis
 pspez: vor dem Lig .
pubicum inferius",,"

cru (""Crura clitoridis"")
cor (""Corpus clitoridis"")
",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,06C
" lemma: synonym sein
 narg1: Klitorisschaft
 narg2: Corpus clitoridis",,"

cor
cor",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,07A
" lemma: Grundlage des Kitzlers bilden
  narg: der paarige Schwellkörper , Corpus cavernosum clitoridis",,"
kli (""Kitzlers"")
cac (""Corpus cavernosum clitoridis"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,08A
" lemma: {ein} paarige{r} Schwellkörper sein
  narg: Corpus cavernosum clitoridis",,"

cac",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,09A
" lemma: unvollständig getrennt werden
  narg: das vom linken und rechten Crus clitoridis kommende Corpus cavernosum",,"

cac (""Corpus cavernosum"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,10A
" lemma: unvollständig getrennt werden
  narg: das vom linken und rechten Crus clitoridis kommende Corpus cavernosum
pspez1: Im Corpus clitoridis",,"

cac (""Corpus cavernosum"")
cor (""Corpus clitoridis"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,10B
" lemma: unvollständig getrennt werden
  narg: das vom linken und rechten Crus clitoridis kommende Corpus cavernosum
pspez1: durch das Septum corporum cavernosorum",,"

cac (""Corpus cavernosum"")
sep (""Septum corporum cavernosorum"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,10C
" lemma: vom linken und rechten Crus clitoridis kommen
  narg: Corpus cavernosum",,"
cru (""Crus clitoridis"")
cac",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,11A
" lemma: von der Fascia clitoridis überzogen werden
  narg: Das Corpus cavernosum",,"
tac/tas (""Fascia clitoridis"")
cac (""Corpus cavernosum"")",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,12A
" lemma: In die Faszie einstrahlen
 nargA: die kleinen Ligamenta suspensorium clitoridis",,"

lig",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,13A
" lemma: In die Faszie einstrahlen
 nargA: die kleinen Ligamenta suspensorium clitoridis
 nargB: die kleinen Ligamenta fundiforme clitoridis",,"

lig
lig",,27.05.2025 23:00:29 CEST,23,ELEVP32P,6Z9GAWQU,678,13B
" lemma: dem Corpus spongiosum penis des Mannes entsprechen
  narg: Die beiden Bulbi vestibuli",,"

bul (""Bulbi vestibuli"")",,27.05.2025 23:00:29 CEST,24,ELEVP32P,ALVRZZAC,679,01A
 lemma: zu beiden Seiten des Vestibulum vaginae liegen,,,,27.05.2025 23:00:29 CEST,24,ELEVP32P,ALVRZZAC,679,02A
" lemma: aus einem starken Venenplexus bestehen
  narg: Sie","

Die beiden Bulbi vestibuli","
bul (""starken Venenplexus"")
",,27.05.2025 23:00:29 CEST,24,ELEVP32P,ALVRZZAC,679,03A
" lemma: von einer zarten Tunica albuginea überzogen werden
  narg: Sie","

Die beiden Bulbi vestibuli","
tac/tas (""Tunica albuginea"")
",,27.05.2025 23:00:29 CEST,24,ELEVP32P,ALVRZZAC,679,04A
" lemma: zart
  narg: Tunica albuginea {der Bulbi vestibuli}",,"

tac/tas",,27.05.2025 23:00:29 CEST,24,ELEVP32P,ALVRZZAC,679,05A
" lemma: weiche , schwellbare Polster bilden
  narg: Sie","

Die beiden Bulbi vestibuli",,,27.05.2025 23:00:29 CEST,24,ELEVP32P,ALVRZZAC,679,06A
"lemmaA: bei der Erektion des Penis mitwirken
  narg: {M. ischiocavernosus}",,,,27.05.2025 23:00:30 CEST,25,ELEVP32P,AP2VNHFJ,617,01A
"lemmaB: bei der Erektion der Clitoris mitwirken
  narg: {M. ischiocavernosus}",,"
kli
",,27.05.2025 23:00:30 CEST,25,ELEVP32P,AP2VNHFJ,617,01B
" lemma: aus dem Geschlechtshöcker entstehen
  narg: der Kitzler ( Clitoris )",,"

kli (""Clitoris"")",,27.05.2025 23:00:30 CEST,26,ELEVP32P,E5PSGMQY,639,01A
" lemma: synonym sein
 narg1: Kitzler
 narg2: Clitoris",,"

kli
kli",,27.05.2025 23:00:30 CEST,26,ELEVP32P,E5PSGMQY,639,02A
" lemma: Zu den äußeren Geschlechtsorganen der Frau gehören
 nargA: der Schamberg , Mons pubis ( veneris )",,,,27.05.2025 23:00:30 CEST,27,ELEVP32P,J6U8NVFH,635,01A
" lemma: Zu den äußeren Geschlechtsorganen der Frau gehören
 nargA: der Schamberg , Mons pubis ( veneris )
 nargB: die großen und kleinen Schamlippen",,,,27.05.2025 23:00:30 CEST,27,ELEVP32P,J6U8NVFH,635,01B
" lemma: Zu den äußeren Geschlechtsorganen der Frau gehören
 nargA: der Schamberg , Mons pubis ( veneris )
 nargB: die großen und kleinen Schamlippen
 nargC: Labia majora et minora pudendi , mit der Schamspalte , Rima pudendi",,,,27.05.2025 23:00:30 CEST,27,ELEVP32P,J6U8NVFH,635,01C
" lemma: Zu den äußeren Geschlechtsorganen der Frau gehören
 nargA: der Schamberg , Mons pubis ( veneris )
 nargB: die großen und kleinen Schamlippen
 nargC: Labia majora et minora pudendi , mit der Schamspalte , Rima pudendi
 nargD: der Kitzler , Clitoris",,"




kli (""Clitoris"")",,27.05.2025 23:00:30 CEST,27,ELEVP32P,J6U8NVFH,635,01D
" lemma: Zu den äußeren Geschlechtsorganen der Frau gehören
 nargA: der Schamberg , Mons pubis ( veneris )
 nargB: die großen und kleinen Schamlippen
 nargC: Labia majora et minora pudendi , mit der Schamspalte , Rima pudendi
 nargD: der Kitzler , Clitoris
 nargE: der Scheidenvorhof , Vestibulum vaginae",,"




kli (""Clitoris"")
",,27.05.2025 23:00:30 CEST,27,ELEVP32P,J6U8NVFH,635,01E
" lemma: synonym sein
 narg1: Kitzler
 narg2: Clitoris",,"

kli
kli",,27.05.2025 23:00:30 CEST,27,ELEVP32P,J6U8NVFH,635,02A
"lemmaA: ventral durch das Frenulum clitoridis abgegrenzt werden
  narg: welcher","

Der Scheidenvorhof","
fre (""Frenulum clitoridis"")
",,27.05.2025 23:00:30 CEST,28,ELEVP32P,KHDV8YD7,678,01A
"lemmaB: dorsal durch das Frenulum labiorum abgegrenzt werden
  narg: welcher","

Der Scheidenvorhof",,,27.05.2025 23:00:30 CEST,28,ELEVP32P,KHDV8YD7,678,01B
" lemma: Reizorgane sein
 nargA: Clitoris",,"

kli",,27.05.2025 23:00:31 CEST,29,ELEVP32P,R9LRX28T,679,01A
" lemma: Reizorgane sein
 nargA: Clitoris
 nargB: Labia minora",,"

kli
",,27.05.2025 23:00:31 CEST,29,ELEVP32P,R9LRX28T,679,01B
"   zus: auf taktile Reize
 lemma: das Nervensystem erotisieren
  narg: die","


Clitoris und Labia minora",,,27.05.2025 23:00:31 CEST,29,ELEVP32P,R9LRX28T,679,02A
"   zus: Bei der Frau
 lemma: im Saccus subcutaneus perinei liegen
 nargA: die Crura clitoridis",,"


cru (""Crura clitoridis"")",,27.05.2025 23:00:31 CEST,30,ELEVP32P,RWJZIZX5,619,01A
"   zus: Bei der Frau
 lemma: im Saccus subcutaneus perinei liegen
 nargA: die Crura clitoridis
 pspez: beim Mann die Crura penis und der Bulbus penis",,"


cru (""Crura clitoridis"")
",,27.05.2025 23:00:31 CEST,30,ELEVP32P,RWJZIZX5,619,01B
"   zus: Bei der Frau
 lemma: im Saccus subcutaneus perinei liegen
 nargA: die Crura clitoridis
 nargB: der Bulbus vestibuli
 pspez: beim Mann die Crura penis und der Bulbus penis",,"


cru (""Crura clitoridis"")
bul (""Bulbus vestibuli"")
",,27.05.2025 23:00:31 CEST,30,ELEVP32P,RWJZIZX5,619,01C
"   zus: Bei der Frau
 lemma: im Saccus subcutaneus perinei liegen
 nargA: die Crura clitoridis
 nargB: der Bulbus vestibuli
 pspez: beim Mann die Crura penis und der Bulbus penis",,"


cru (""Crura clitoridis"")
bul (""Bulbus vestibuli"")
",,27.05.2025 23:00:31 CEST,30,ELEVP32P,RWJZIZX5,619,01D
"   zus: bei der Frau
 lemma: an der Faszie des Corpus clitoridis ansetzen
  narg: M. bulbospongiosus ( M. bulbocavernosus )",,"

cor (""Corpus clitoridis"")
",,27.05.2025 23:00:31 CEST,31,ELEVP32P,VH7WUSLP,617,01A
"   zus: bei der Frau
 lemma: an der Faszie des Corpus clitoridis ansetzen
  narg: M. bulbospongiosus ( M. bulbocavernosus )
 pspez: beim Mann am Dorsum penis",,"

cor (""Corpus clitoridis"")

",,27.05.2025 23:00:31 CEST,31,ELEVP32P,VH7WUSLP,617,01B
"   zus: andererseits
lemmaA: in die Vv. pudendae externae erfolgen
  narg: Der Abfluss des venösen Blutes",,,,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,01A
"   zus: andererseits
lemmaA: in die Vv. pudendae externae erfolgen
  narg: Der Abfluss des venösen Blutes
pspezA: über die Vv. labiales anteriores",,,,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,01B
"   zus: andererseits
lemmaA: in die Vv. pudendae externae erfolgen
  narg: Der Abfluss des venösen Blutes
pspezB: über die Vv. dorsales superficiales clitoridis",,"



ven",,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,01C
"   zus: andererseits
lemmaB: in die V. femoralis erfolgen
  narg: Der Abfluss des venösen Blutes",,,,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,01D
"   zus: andererseits
lemmaB: in die V. femoralis erfolgen
  narg: Der Abfluss des venösen Blutes
pspezA: über die Vv. labiales anteriores",,,,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,01E
"   zus: andererseits
lemmaB: in die V. femoralis erfolgen
  narg: Der Abfluss des venösen Blutes
pspezB: über die Vv. dorsales superficiales clitoridis",,"



ven",,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,01F
"   zus: einerseits
 lemma: in die V. pudenda interna erfolgen
  narg: Der Abfluss des venösen Blutes",,,,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,02A
"   zus: einerseits
 lemma: in die V. pudenda interna erfolgen
  narg: Der Abfluss des venösen Blutes
pspezA: über die Vv. dorsalis profunda clitoridis",,"



ven",,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,02B
"   zus: einerseits
 lemma: in die V. pudenda interna erfolgen
  narg: Der Abfluss des venösen Blutes
pspezB: über die Vv. profundae clitoridis",,"



ven",,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,02C
"   zus: einerseits
 lemma: in die V. pudenda interna erfolgen
  narg: Der Abfluss des venösen Blutes
pspezC: über die Vv. bulbi vestibuli",,"



ven",,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,02D
"   zus: einerseits
 lemma: in die V. pudenda interna erfolgen
  narg: Der Abfluss des venösen Blutes
pspezD: über die Vv. labiales posteriores",,,,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,02E
" lemma: Aus dem N. pudendus ( S2 – 4 ) kommen
 nargA: der N. dorsalis clitoridis",,"

ner (""N. dorsalis clitoridis"")",,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,03A
" lemma: Aus dem N. pudendus ( S2 – 4 ) kommen
 nargA: der N. dorsalis clitoridis
 nargB: die Nn .
perineales",,"

ner (""N. dorsalis clitoridis"")
",,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,03B
" lemma: vegetative Fasern aus dem Plexus pelvicus enthalten
  narg: Die Nn .
cavernosi clitoridis",,"

ner (""Nn .
cavernosi clitoridis"")",,27.05.2025 23:00:32 CEST,32,ELEVP32P,VW4V4EAS,680,04A
" lemma: von den unteren Schambeinästen entspringen
  narg: Das Corpus cavernosum penis",,,,27.05.2025 23:00:32 CEST,33,ELEVP32P,X9IVTBQ4,693,01A
" lemma: von den unteren Schambeinästen entspringen
  narg: Das Corpus cavernosum penis
pspez1: wie die Clitoris",,"


kli (""Clitoris"")",,27.05.2025 23:00:32 CEST,33,ELEVP32P,X9IVTBQ4,693,01B
" lemma: von den unteren Schambeinästen entspringen
  narg: Das Corpus cavernosum penis
pspez1: mit den Crura penis",,,,27.05.2025 23:00:32 CEST,33,ELEVP32P,X9IVTBQ4,693,01C
" lemma: ansetzen
 narg1: Der Muskel
narg2A: penis","

M. ischiocavernosus
",,,27.05.2025 23:00:32 CEST,34,ELEVP32P,YVM83VLD,616,01A
" lemma: ansetzen
 narg1: Der Muskel
narg2A: penis
narg2B: clitoridis","

M. ischiocavernosus

","



cru",,27.05.2025 23:00:32 CEST,34,ELEVP32P,YVM83VLD,616,01B
" lemma: bedecken
 narg1: Der Muskel
narg2A: penis","

M. ischiocavernosus
",,,27.05.2025 23:00:32 CEST,34,ELEVP32P,YVM83VLD,616,02A
" lemma: bedecken
 narg1: Der Muskel
narg2A: penis
narg2B: clitoridis","

M. ischiocavernosus

","



cru",,27.05.2025 23:00:32 CEST,34,ELEVP32P,YVM83VLD,616,02B
" lemma: gehen
 narg1: die A bulbi vestibuli
 narg2: zum Bulbus vestibuli",,"

art (""A bulbi vestibuli"")
bul (""Bulbus vestibuli"")",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,01A
" lemma: gehen
 narg1: die A bulbi vestibuli
 narg2: zum Bulbus vestibuli
 pspez: Aus der A. pudenda interna",,"

art (""A bulbi vestibuli"")
bul (""Bulbus vestibuli"")
",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,01B
" lemma: gehen
 narg1: die A. profunda clitoridis
 narg2: zum Crus clitoridis",,"

art (""A. profunda clitoridis"")
cru (""Crus clitoridis"")",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,02A
" lemma: gehen
 narg1: die A. profunda clitoridis
 narg2: zum Crus clitoridis
 pspez: Aus der A. pudenda interna",,"

art (""A. profunda clitoridis"")
cru (""Crus clitoridis"")
",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,02B
" lemma: gehen
 narg1: die A. dorsalis clitoridis
 narg2: zur Glans clitoridis",,"

art (""A. dorsalis clitoridis"")
gla (""Glans clitoridis"")",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,03A
" lemma: gehen
 narg1: die A. dorsalis clitoridis
 narg2: zur Glans clitoridis
 pspez: Aus der A. pudenda interna",,"

art (""A. dorsalis clitoridis"")
gla (""Glans clitoridis"")
",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,03B
" lemma: aufnehmen
 narg1: Die V. dorsalis clitoridis
narg2A: das Blut der Glans",,"

ven (""V. dorsalis clitoridis"")
gla (""Glans"")",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,04A
" lemma: aufnehmen
 narg1: Die V. dorsalis clitoridis
narg2A: das Blut der Glans
narg2B: des Corpus clitoridis",,"

ven (""V. dorsalis clitoridis"")
gla (""Glans"")
cor (""Corpus clitoridis"")",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,04B
" lemma: schicken
 narg1: Der Bulbus vestibuli
 narg2: seine Venen
narg3A: zu den Plexus venosus uterinus",,"

bul (""Bulbus vestibuli"")

",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,05A
" lemma: schicken
 narg1: Der Bulbus vestibuli
 narg2: seine Venen
narg3A: zu den Plexus venosus uterinus
narg3B: vaginalis",,"

bul (""Bulbus vestibuli"")


",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,05B
" lemma: schicken
 narg1: Der Bulbus vestibuli
 narg2: seine Venen
narg3A: zu den Plexus venosus uterinus
narg3B: vaginalis
narg3C: zum Teil in die Vv. obturatoriae",,"

bul (""Bulbus vestibuli"")



",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,05C
" lemma: bestehen
  narg: Verbindungen {vom Bulbus vestibuli} zu den übrigen Venen der äußeren Geschlechtsorgane",,"

bul (""Verbindungen"")",,27.05.2025 23:00:32 CEST,35,HBA4D47V,2R4V3B6N,841,06A
" lemma: ,
 narg1: Schwellkörpern des Vorhofs
 narg2: Bulbi vestibuli",,"

bul
bul",,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,01A
" lemma: entsprechen
 narg1: Den Schwellkörpern des Vorhofs , Bulbi vestibuli ( Abb .
8.6-2 )
 narg2: das Corpus spongiosum penis",,"

bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,02A
" lemma: zwischen liegen
 narg1: Sie
narg2A: der unteren Faszie des Diaphragma urogenitale","

Bulbi vestibuli
",,,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,03A
" lemma: zwischen liegen
 narg1: Sie
narg2A: der unteren Faszie des Diaphragma urogenitale
narg2B: dem M. bulbospongiosus in der Seitenwand des Scheidenvorhofs","

Bulbi vestibuli

",,,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,03B
" lemma: in der Seitenwand des Scheidenvorhofs .
  narg: M. bulbospongiosus",,,,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,04A
" lemma: keulenförmig verdickt sein
  narg: Ihre hinteren Enden","

Bulbi vestibuli (""Ihre"")",,,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,05A
" lemma: nahe der BARTHOLINSChen Drüsen liegen
  narg: Ihre hinteren Enden","

Bulbi vestibuli (""Ihre"")",,,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,06A
" lemma: sich vereinigen
  narg: Ihre vorderen Enden","

Bulbi vestibuli (""Ihre"")",,,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,07A
" lemma: Blutgefäßverbindungen mit der Klitoris haben
  narg: Ihre vorderen Enden","

Bulbi vestibuli (""Ihre"")","
kli (""Klitoris"")
",,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,08A
" lemma: ungefähr 3 cm lang sein
  narg: Sie","

Bulbi vestibuli",,,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,09A
" lemma: aus einem Venengeflecht bestehen
  narg: Sie","

Bulbi vestibuli","
bul (""Venengeflecht"")
",,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,10A
" lemma: z.T.
kavernös erweitert ,
  narg: Venengeflecht",,"

bul",,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,11A
" lemma: von glatten Muskelzellen umgeben sein
  narg: das",,,,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,12A
"   zus: bei sexueller Erregung
 lemma: anschwellen
  narg: Es","


Venengeflecht","


bul",,27.05.2025 23:00:33 CEST,36,HBA4D47V,3LVD7FZY,841,13A
"lemmaA: zu einer stärkeren Schwellung von Bulbus vestibuli führen
  narg: was","

Nach der Einführung des Penis ( Immissio penis ) werden die Mechanorezeptoren in der Haut der Vaginalmanschette gereizt","
bul
",,27.05.2025 23:00:33 CEST,37,HBA4D47V,497IZEDJ,876,01A
"lemmaB: zu einer stärkeren Schwellung von Klitoris führen
  narg: was","

Nach der Einführung des Penis ( Immissio penis ) werden die Mechanorezeptoren in der Haut der Vaginalmanschette gereizt","
kli
",,27.05.2025 23:00:33 CEST,37,HBA4D47V,497IZEDJ,876,01B
" lemma: münden
  narg: die Harnröhre , Urethra feminina",,,,27.05.2025 23:00:33 CEST,38,HBA4D47V,69K4S6BA,840,01A
" lemma: münden
  narg: die Harnröhre , Urethra feminina
 pspez: Dorsal der Klitoris",,"


gla (""Klitoris"")",,27.05.2025 23:00:33 CEST,38,HBA4D47V,69K4S6BA,840,01B
 lemma: sein,,,,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,01A
" lemma: sein
  farg: am unteren Symphysenrand",,,,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,01B
" lemma: sein
  farg: am unteren Symphysenrand
pspez1: Die Klitoris selbst",,"


kli (""Klitoris"")",,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,01C
" lemma: sein
  farg: am unteren Symphysenrand
pspez1: durch das Lig .
suspensorium clitoridis",,"


lig (""Lig .
suspensorium clitoridis"")",,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,01D
" lemma: sein
  farg: am unteren Symphysenrand
pspez1: befestigt",,,,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,01E
" lemma: aufweisen
 narg1: Die Klitoris
 narg2: zahlreiche sensorische Nervenendigungen",,"

kli (""Klitoris"")
",,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,02A
" lemma: Hohlräume enthalten
  narg: Die Schwellkörper",,"

cac (""Schwellkörper"")",,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,03A
"  zus1: die
  zus2: bei Blutfüllung
 lemma: zu einer geringen Aufrichtung der Klitoris fahren","Hohlräume


","


kli (""Klitoris"")",,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,04A
" lemma: bei Berührung und sexueller Erregung geschehen
  narg: Dies","

Hohlräume , die bei Blutfüllung zu einer geringen Aufrichtung der Klitoris führe",,,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,05A
" lemma: aufnehmen
 narg1: die Frau
 narg2: die stärksten sexuellen Reize",,,,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,06A
" lemma: aufnehmen
 narg1: die Frau
 narg2: die stärksten sexuellen Reize
pspez1: Über den Kitzler",,"



kli (""Kitzler"")",,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,06B
" lemma: aufnehmen
 narg1: die Frau
 narg2: die stärksten sexuellen Reize
pspez1: stärkere Reize als durch die Sensorik der Scheide",,,,27.05.2025 23:00:34 CEST,39,HBA4D47V,7SXNBUBU,840,06C
" lemma: enthalten
 narg1: Der oberflächliche Dammraum
narg2A: Penis",,,,27.05.2025 23:00:34 CEST,40,HBA4D47V,9G3ND5CT,756,01A
" lemma: enthalten
 narg1: Der oberflächliche Dammraum
narg2A: Penis
narg2B: Klitoris",,"



kli",,27.05.2025 23:00:34 CEST,40,HBA4D47V,9G3ND5CT,756,01B
" lemma: enden
 narg1: Der M. ischiocavernosus
 narg2: in der Tunica albuginea
narg3A: des Crus penis",,,,27.05.2025 23:00:34 CEST,40,HBA4D47V,9G3ND5CT,756,02A
" lemma: enden
 narg1: Der M. ischiocavernosus
 narg2: in der Tunica albuginea
narg3A: des Crus penis
narg3B: des Crus clitoridis",,"




cru (""Crus clitoridis"")",,27.05.2025 23:00:34 CEST,40,HBA4D47V,9G3ND5CT,756,02B
"   zus: Bei der Frau
 lemma: umfassen
 narg1: der M. bulbospongiosus
 narg2: den Bulbus vestibuli",,"



bul (""Bulbus vestibuli"")",,27.05.2025 23:00:34 CEST,40,HBA4D47V,9G3ND5CT,756,03A
"   zus: Bei der Frau
 lemma: inserieren
 narg1: der M. bulbospongiosus
 narg2: in der Klitoris",,"



kli (""Klitoris"")",,27.05.2025 23:00:34 CEST,40,HBA4D47V,9G3ND5CT,756,04A
"   zus: Bei der Frau
 lemma: inserieren
 narg1: der M. bulbospongiosus
 narg2: in der Klitoris
 pspez: symphysenwärts",,"



kli (""Klitoris"")
",,27.05.2025 23:00:34 CEST,40,HBA4D47V,9G3ND5CT,756,04B
" lemma: der Vermittlung sexueller Erregung dienen
  narg: die Klitoris",,"

kli (""Klitoris"")",,27.05.2025 23:00:34 CEST,41,HBA4D47V,ATWZCEVK,838,01A
" lemma: zwischen liegen
 nargA: dem Diaphragma urogenitale",,,,27.05.2025 23:00:34 CEST,42,HBA4D47V,AW8GI26B,840,01A
